amostra_sequenciamento;barcode;tag;area_amostrador;ponto;aliquota;otu;n_reads;%_id;taxon;otu_final_curada;
P08;12SrRNA;TA;P1_MQ;1;1;1;233;100;Nycticorax nycticorax;Nycticorax nycticorax;
P08;12SrRNA;TB;P2_MC;2;1;1;50;99.26;Bos taurus;Bos taurus;
P08;12SrRNA;TB;P2_MC;2;1;2;41;99.25;Canis lupus;Canis lupus familiaris;
P08;12SrRNA;TC;P2_MC;2;1;2;20;99.26;Canis lupus familiaris;Canis lupus familiaris;
P08;12SrRNA;TC;P2_MC;2;1;3;38;100;Canis lupus familiaris;Canis lupus familiaris;
P08;12SrRNA;TC;P2_MC;2;1;4;524;100;Canis lupus familiaris;Canis lupus familiaris;
P08;12SrRNA;TG;P2_MC;2;1;1;17;99.29;Canis lupus;Canis lupus familiaris;
P08;12SrRNA;TH;P3_MC;3;1;1;109;100;Bos taurus;Bos taurus;
P08;12SrRNA;TH;P3_MC;3;1;2;52;100;Canis lupus familiaris;Canis lupus familiaris;
P08;12SrRNA;TH;P3_MC;3;1;4;1859;100;Rhea americana;Rhea americana;
P08;12SrRNA;TI;P3_MQ;3;1;1;14;100;Bos taurus;Bos taurus;
P08;12SrRNA;TI;P3_MQ;3;1;2;127;100;Equus caballus;Equus caballus;
P08;12SrRNA;TI;P3_MQ;3;1;3;28;100;Sus scrofa ;Sus scrofa ;
P08;12SrRNA;TI;P3_MQ;3;1;4;27;100;Tamandua tetradactyla;Tamandua tetradactyla;
P08;12SrRNA;TI;P3_MQ;3;1;6;25;100;Bubulcus ibis;Bubulcus ibis;
P08;12SrRNA;TI;P3_MQ;3;1;7;1013;100;Gallus gallus;Gallus gallus;
P08;12SrRNA;TK;P3_MC;3;1;1;33;100;Zaedyus pichiy;Euphractus sexcinctus;
P08;12SrRNA;TK;P3_MC;3;1;2;26;97.04;Euphractus sexcinctus;Euphractus sexcinctus;
P08;12SrRNA;TL;P3_MC;3;1;1;1111;100;Canis aureus;Canis lupus familiaris;
P08;12SrRNA;TL;P3_MC;3;1;2;481;100;Zaedyus pichiy;Euphractus sexcinctus;
P08;12SrRNA;TL;P3_MC;3;1;3;72;100;Dasypus yepesi;Dasypus novemcinctus;
P08;12SrRNA;TL;P3_MC;3;1;4;50;97.08;Euphractus sexcinctus;Euphractus sexcinctus;
P08;12SrRNA;TL;P3_MC;3;1;5;1155;100;Sus scrofa;Sus scrofa ;
P08;12SrRNA;TO;P4_MQ;4;1;1;205;99.27;Callicebus cupreus;Callicebus nigrifrons;
P08;12SrRNA;TS;P4_MQ;4;1;1;1026;99.26;Callicebus cupreus;Callicebus nigrifrons;
P08;12SrRNA;TS;P4_MQ;4;1;2;147;100;Pecari tajacu;Pecari tajacu;
P08;12SrRNA;TS;P4_MQ;4;1;3;32;97.83;Columba livia;Columba livia;
P08;12SrRNA;TS;P4_MQ;4;1;4;76;97.83;Columba livia;Columba livia;
P08;12SrRNA;TS;P4_MQ;4;1;5;2474;100; Columba livia; Columba livia;
P08;12SrRNA;TS;P4_MQ;4;1;6;49;100;Coryphospingus cucullatus;Coryphospingus cucullatus;
P08;12SrRNA;TS;P4_MQ;4;1;8;135;100;Gallus gallus;Gallus gallus;
P08;12SrRNA;TS;P4_MQ;4;1;9;421;100;Nycticorax nycticorax;Nycticorax nycticorax;
P08;12SrRNA;TS;P4_MQ;4;1;10;141;100;Turdus rufiventris;Turdus rufiventris;
P08;12SrRNA;TX;P4_MC;4;1;1;17;100;Sus scrofa;Sus scrofa ;
P08;12SrRNA;TX;P4_MC;4;1;2;704;100;Oncorhynchus clarkii;Oncorhynchus clarkii;
P08;12SrRNA;TY;P4_MC;4;1;1;301;100;Ateles paniscus;Ateles paniscus;
P09;12SrRNA;TA;P4_MC;4;1;1;531;100;Bos taurus;Bos taurus;
